email,color,category,size,value,quantity,vintage,wine,country,locale,producer,varietal,beginConsume,endConsume,rating,row,col
python@gmail.com,Red,Dry,750ml,82.054,3,2005,Ramey Jericho Canyon Vineyard,USA,"USA, California, Napa Valley",Ramey,Red Bordeaux Blend,2008,2023,93.39655172,4,4
python@gmail.com,Red,Dry,750ml,62.4833,1,1999,Frog's Leap Rutherford,USA,"USA, California, Napa Valley, Rutherford",Frog's Leap,Cabernet Sauvignon,2009,2017,91.16666667,6,9
python@gmail.com,Red,Dry,750ml,10.3418,1,2003,Les Caves Fleury,France,"France, Bordeaux",Les Caves Fleury,Red Bordeaux Blend,2009,2012,84,7,10
python@gmail.com,Red,Dry,750ml,35.1333,1,2003,"Hollywood & Vine Cellars Cabernet Sauvignon ""2480"" Napa Valley",USA,"USA, California, Napa Valley",Hollywood & Vine Cellars,Cabernet Sauvignon,2007,2014,90.83333333,8,16
python@gmail.com,Red,Dry,750ml,39.9983,1,2003,Frog's Leap Cabernet Sauvignon,USA,"USA, California, Napa Valley",Frog's Leap,Cabernet Sauvignon,2010,2013,88.17647059,9,5
python@gmail.com,Red,Dry,750ml,24.5,1,1999,Stags' Leap Winery Cabernet Sauvignon,USA,"USA, California, Napa Valley",Stags' Leap Winery,Cabernet Sauvignon,2006,2011,90.33333333,10,12
python@gmail.com,Red,Dry,750ml,62.0,1,2001,Brick House Pinot Noir Cuvée du Tonnelier,USA,"USA, Oregon, Willamette Valley",Brick House,Pinot Noir,2005,2008,92.09090909,10,17
python@gmail.com,Red,Dry,750ml,45.0,1,2002,"Hollywood & Vine Cellars Cabernet Sauvignon ""2480"" Napa Valley",USA,"USA, California, Napa Valley",Hollywood & Vine Cellars,Cabernet Sauvignon,2006,2014,91.4,11,10
python@gmail.com,Red,Dry,750ml,36.75,1,2005,Emeritus Vineyards Pinot Noir William Wesley,USA,"USA, California, Sonoma Coast",Emeritus Vineyards,Pinot Noir,2008,2013,91.91176471,12,16
python@gmail.com,Red,Dry,750ml,171.7684,1,2002,Vérité La Joie,USA,"USA, California, Sonoma County",Vérité,Red Bordeaux Blend,2008,2024,93.61627907,13,1
python@gmail.com,Red,Dry,750ml,31.0,1,1999,Stags' Leap Winery Petite Sirah,USA,"USA, California, Napa Valley",Stags' Leap Winery,Petite Sirah,2007,2015,89.60714286,14,13
python@gmail.com,Red,Dry,750ml,65.2151,1,2005,Stag's Leap Wine Cellars Cabernet Sauvignon Fay,USA,"USA, California, Napa Valley",Stag's Leap Wine Cellars,Cabernet Sauvignon,2012,2020,91,15,14
python@gmail.com,Red,Dry,750ml,39.2,1,2004,Mount Eden Vineyards Cabernet Sauvignon,USA,"USA, California, San Francisco Bay, Santa Cruz Mountains",Mount Eden Vineyards,Cabernet Sauvignon,2013,2034,91.16666667,15,19
python@gmail.com,Red,Dry,750ml,34.0,1,2002,Stags' Leap Winery Cabernet Sauvignon,USA,"USA, California, Napa Valley",Stags' Leap Winery,Cabernet Sauvignon,2005,2012,88.94285714,17,2
python@gmail.com,Red,Dry,750ml,51.85,5,2005,Ramey Cabernet Sauvignon Larkmead Vineyard,USA,"USA, California, Napa Valley",Ramey,Cabernet Sauvignon,2009,2016,91.98529412,17,13
python@gmail.com,Red,Dry,750ml,43.9616,3,2005,Matthews Red Wine,USA,"USA, Washington, Columbia Valley",Matthews,Red Bordeaux Blend,2011,2025,90.34615385,19,11
python@gmail.com,red,dry,750ml,28.0,2,2016,Rutherford Leap,USA,Napa Valley,BigDog Cellars,Cabernot,2016,2026,91,9,10
